curso;unidade
CURSO TÉCNICO DA METRÓPOLE DIGITAL;INSTITUTO METROPOLE DIGITAL
CURSO TÉCNICO EM ENFERMAGEM;ESCOLA DE SAÚDE
CURSO TÉCNICO EM ESTÉTICA;ESCOLA DE SAÚDE
CURSO TÉCNICO EM GERÊNCIA DE SAÚDE;ESCOLA DE SAÚDE
CURSO TÉCNICO EM MANUTENÇÃO E SUPORTE EM INFORMÁTICA;ESCOLA DE SAÚDE
CURSO TÉCNICO EM MASSOTERAPIA;ESCOLA DE SAÚDE
CURSO TÉCNICO EM PRÁTICAS INTEGRATIVAS E COMPLEMENTARES EM SAÚDE;ESCOLA DE SAÚDE
CURSO TÉCNICO EM REGISTROS E INFORMAÇÕES EM SAÚDE;ESCOLA DE SAÚDE
CURSO TÉCNICO EM SEGURANÇA DO TRABALHO;ESCOLA DE SAÚDE
DANÇA;CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES
DDF;CERES - DEPTO CIÊNCIAS SOCIAIS E HUMANAS
DESENVOLVIMENTO GERENCIAL DOS SERVIDORES DO TRIBUNAL DE CONTAS DO ESTADO DO RN;FUNPEC/PPGAD
DESIGN;CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES
DESIGN DE INOVAÇÃO;PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIA, TECNOLOGIA E INOVAÇÃO
DIDÁTICA E MÉTODO MULTISSENSORIAL NO ENSINO A ESTUDANTES COM DEFICIÊNCIA VISUAL;PROGRAMA DE PÓS-GRADUAÇÃO EM EDUCAÇÃO ESPECIAL
DIREITO;CENTRO DE CIÊNCIAS SOCIAIS APLICADAS
DIREITO ADMINISTRATIVO;DEPARTAMENTO DE DIREITO PUBLICO - DIPUB
DIREITO CIVIL E PROCESSO CIVIL;DEPARTAMENTO DE DIREITO - CERES
DIREITO CIVIL E PROCESSUAL CIVIL;PROGRAMA DE PÓS-GRADUAÇÃO EM DIREITO
DIREITO DO TRABALHO E SEGURIDADE SOCIAL;DEPARTAMENTO DE DIREITO PRIVADO - DIPRI
DIREITO E GESTÃO PÚBLICA;DEPARTAMENTO DE DIREITO - CERES
DIREITO INTERNACIONAL;PROGRAMA DE PÓS-GRADUAÇÃO EM DIREITO
DIREITO LATO SENSU;PROGRAMA DE PÓS-GRADUAÇÃO EM DIREITO
DIREITO, MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTÁVEL;PROGRAMA DE PÓS-GRADUAÇÃO EM DIREITO
DIREITO MILITAR;DEPARTAMENTO DE DIREITO PROCESSUAL E PROPEDÊUTICA - DEPRO
DIREITO PROCESSUAL CIVIL;PROGRAMA DE PÓS-GRADUAÇÃO EM DIREITO
DOCÊNCIA NA EDUCAÇÃO INFANTIL;NÚCLEO DE EDUCAÇÃO DA INFÂNCIA
DOUTORADO EM ADMINISTRAÇÃO;PROGRAMA DE PÓS-GRADUAÇÃO EM ADMINISTRAÇÃO
DOUTORADO EM ANTROPOLOGIA SOCIAL;PROGRAMA DE PÓS-GRADUAÇÃO EM ANTROPOLOGIA SOCIAL
DOUTORADO EM ARQUITETURA E URBANISMO;PROGRAMA DE PÓS-GRADUAÇÃO EM ARQUITETURA E URBANISMO
DOUTORADO EM ARTES CÊNICAS;PROGRAMA DE PÓS-GRADUAÇÃO EM ARTES CÊNICAS
DOUTORADO EM ASSISTÊNCIA FARMACÊUTICA EM REDE;PROGRAMA DE PÓS GRADUAÇÃO EM ASSISTÊNCIA FARMACÊUTICA EM REDE
DOUTORADO EM BIOINFORMÁTICA;PROGRAMA DE PÓS-GRADUAÇÃO EM BIOINFORMÁTICA
DOUTORADO EM BIOLOGIA ESTRUTURAL E FUNCIONAL;PROGRAMA DE PÓS-GRADUAÇÃO EM BIOLOGIA ESTRUTURAL E FUNCIONAL
DOUTORADO EM BIOLOGIA PARASITÁRIA;PROGRAMA DE PÓS-GRADUAÇÃO EM BIOLOGIA PARASITÁRIA
DOUTORADO EM BIOQUÍMICA E BIOLOGIA MOLECULAR;PROGRAMA DE PÓS-GRADUAÇÃO EM BIOQUÍMICA E BIOLOGIA MOLECULAR
DOUTORADO EM BIOTECNOLOGIA;PROGRAMA DE PÓS-GRADUAÇÃO EM BIOTECNOLOGIA
DOUTORADO EM CIÊNCIA DA COMPUTAÇÃO;PROGRAMA DE PÓS-GRADUAÇÃO EM SISTEMAS E COMPUTAÇÃO
DOUTORADO EM CIÊNCIA DA INFORMAÇÃO;PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIA DA INFORMAÇÃO
DOUTORADO EM CIÊNCIA E ENGENHARIA DE MATERIAIS;PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIA E ENGENHARIA DE MATERIAIS
DOUTORADO EM CIÊNCIA E ENGENHARIA DE PETRÓLEO;PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIA E ENGENHARIA DE PETRÓLEO
DOUTORADO EM CIÊNCIAS CLIMÁTICAS;PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIAS CLIMÁTICAS
DOUTORADO EM CIÊNCIAS DA SAÚDE;PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIAS DA SAÚDE
DOUTORADO EM CIÊNCIAS FARMACÊUTICAS;PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIAS FARMACÊUTICAS
DOUTORADO EM CIÊNCIAS FISIOLÓGICAS;PROGRAMA DE PÓS-GRADUAÇÃO MULTICÊNTRICO EM CIÊNCIAS FISIOLÓGICAS (CCS/FACISA)
DOUTORADO EM CIÊNCIAS ODONTOLÓGICAS;PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIAS ODONTOLÓGICAS
DOUTORADO EM CIÊNCIAS SOCIAIS;PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIAS SOCIAIS
DOUTORADO EM DEMOGRAFIA;PROGRAMA DE PÓS-GRADUAÇÃO EM DEMOGRAFIA
DOUTORADO EM DESENVOLVIMENTO E INOVAÇÃO TECNOLÓGICA EM MEDICAMENTOS;PROGRAMA DE PÓS-GRADUAÇÃO EM DESENVOLVIMENTO E INOVAÇÃO TECNOLÓGICA EM MEDICAMENTOS
DOUTORADO EM DESENVOLVIMENTO E MEIO AMBIENTE;PROGRAMA DE PÓS-GRADUAÇÃO EM DESENVOLVIMENTO E MEIO AMBIENTE - PRODEMA
