id_curso;curso;id_unidade;unidade
119250014;CURSO DE LÍNGUA GREGA MODERNA;6042;INSTITUTO ÁGORA - LÍNGUAS, LITERATURAS E CULTURAS ESTRANGEIRAS MODERNAS
86979169;CURSO DE LÍNGUA INGLESA  BÁSICO;6042;INSTITUTO ÁGORA - LÍNGUAS, LITERATURAS E CULTURAS ESTRANGEIRAS MODERNAS
86979728;CURSO DE LÍNGUA INGLESA PARA FINS ACADÊMICOS;6042;INSTITUTO ÁGORA - LÍNGUAS, LITERATURAS E CULTURAS ESTRANGEIRAS MODERNAS
121650822;CURSO DE LÍNGUA INGLESA  SINFO;6042;INSTITUTO ÁGORA - LÍNGUAS, LITERATURAS E CULTURAS ESTRANGEIRAS MODERNAS
86981150;CURSO DE LÍNGUA JAPONESA - BÁSICO;6042;INSTITUTO ÁGORA - LÍNGUAS, LITERATURAS E CULTURAS ESTRANGEIRAS MODERNAS
86981352;CURSO DE LÍNGUA JAPONESA PARA FINS ACADÊMICOS;6042;INSTITUTO ÁGORA - LÍNGUAS, LITERATURAS E CULTURAS ESTRANGEIRAS MODERNAS
119248706;CURSO DE LÍNGUA LATINA;6042;INSTITUTO ÁGORA - LÍNGUAS, LITERATURAS E CULTURAS ESTRANGEIRAS MODERNAS
86980533;CURSO DE LÍNGUA PORTUGUESA PARA ESTRANGEIROS COM FINS ACADÊMICOS;6042;INSTITUTO ÁGORA - LÍNGUAS, LITERATURAS E CULTURAS ESTRANGEIRAS MODERNAS
96690272;CURSO DE PLURILINGUISMO E INTERCULTURALIDADE: FRANCÊS, ESPANHOL, ITALI;6042;INSTITUTO ÁGORA - LÍNGUAS, LITERATURAS E CULTURAS ESTRANGEIRAS MODERNAS
176715640;CURSO DE PORTUGUÊS COMO LÍNGUA DE ACOLHIMENTO;6042;INSTITUTO ÁGORA - LÍNGUAS, LITERATURAS E CULTURAS ESTRANGEIRAS MODERNAS
140780735;CURSO DE PORTUGUÊS LÍNGUA ESTRANGEIRA - AVANÇADO;6042;INSTITUTO ÁGORA - LÍNGUAS, LITERATURAS E CULTURAS ESTRANGEIRAS MODERNAS
99449969;CURSO DE PORTUGUÊS LÍNGUA ESTRANGEIRA - BÁSICO;6042;INSTITUTO ÁGORA - LÍNGUAS, LITERATURAS E CULTURAS ESTRANGEIRAS MODERNAS
86980524;CURSO DE PORTUGUÊS LÍNGUA ESTRANGEIRA - BÁSICO;6042;INSTITUTO ÁGORA - LÍNGUAS, LITERATURAS E CULTURAS ESTRANGEIRAS MODERNAS
129346781;CURSO DE PÓS-GRADUAÇÃO LATO SENSU EM GESTÃO MUNICIPAL - MODALIDADE A DISTÂNCIA;5679;PROGRAMA DE PÓS-GRADUAÇÃO EM GESTÃO PÚBLICA
129614610;CURSO DE PÓS-GRADUAÇÃO LATO SENSU EM GESTÃO PÚBLICA MUNICIPAL DISTÂNCIA;5679;PROGRAMA DE PÓS-GRADUAÇÃO EM GESTÃO PÚBLICA
129593359;CURSO DE PÓS-GRADUAÇÃO LATO SENSU EM GESTÃO PÚBLICA MUNICIPAL - EAD;5679;PROGRAMA DE PÓS-GRADUAÇÃO EM GESTÃO PÚBLICA
134940269;CURSO DE PRÁTICA DE LEITURA E ESCRITA DO PORTUGUÊS PARA ESTRANGEIROS;6042;INSTITUTO ÁGORA - LÍNGUAS, LITERATURAS E CULTURAS ESTRANGEIRAS MODERNAS
119186158;CURSO DE PRONÚNCIA EM LÍNGUA INGLESA;6042;INSTITUTO ÁGORA - LÍNGUAS, LITERATURAS E CULTURAS ESTRANGEIRAS MODERNAS
135192457;CURSO EM LITERATURA INFANTIL NEGRA NA ESCOLA;363;PROGRAMA DE PÓS-GRADUAÇÃO EM EDUCAÇÃO
1101030;CURSO ESPECIALIZAÇÃO EM SAÚDE COLETIVA;1591;PROG. POS-GRADUACAO EM ODONTOLOGIA SOCIAL
151748706;CURSO PREPARATÓRIO CELPE-BRAS AVANÇADO (PCB-A);6042;INSTITUTO ÁGORA - LÍNGUAS, LITERATURAS E CULTURAS ESTRANGEIRAS MODERNAS
134965261;CURSO PREPARATÓRIO CELPE-BRAS [PCB];6042;INSTITUTO ÁGORA - LÍNGUAS, LITERATURAS E CULTURAS ESTRANGEIRAS MODERNAS
88353771;CURSO TÉCNICO DA METRÓPOLE DIGITAL;351;ESCOLA AGRÍCOLA DE JUNDIAÍ
96054058;CURSO TÉCNICO DA METRÓPOLE DIGITAL;6069;INSTITUTO METROPOLE DIGITAL
1086003;CURSO TÉCNICO EM ENFERMAGEM;205;ESCOLA DE SAÚDE
1086001;CURSO TÉCNICO EM ENFERMAGEM;205;ESCOLA DE SAÚDE
1086002;CURSO TÉCNICO EM ENFERMAGEM;205;ESCOLA DE SAÚDE
115285617;CURSO TÉCNICO EM ESTÉTICA;205;ESCOLA DE SAÚDE
126501266;CURSO TÉCNICO EM ESTÉTICA;205;ESCOLA DE SAÚDE
125823462;CURSO TÉCNICO EM GERÊNCIA DE SAÚDE;205;ESCOLA DE SAÚDE
108837709;CURSO TÉCNICO EM MANUTENÇÃO E SUPORTE EM INFORMÁTICA;205;ESCOLA DE SAÚDE
104411100;CURSO TÉCNICO EM MASSOTERAPIA;205;ESCOLA DE SAÚDE
2624567;CURSO TÉCNICO EM PRÁTICAS INTEGRATIVAS E COMPLEMENTARES EM SAÚDE;205;ESCOLA DE SAÚDE
10598020;CURSO TÉCNICO EM REGISTROS E INFORMAÇÕES EM SAÚDE;205;ESCOLA DE SAÚDE
100892419;CURSO TÉCNICO EM SEGURANÇA DO TRABALHO;205;ESCOLA DE SAÚDE
7264330;DANÇA;442;CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES
106619252;DDF;236;CERES - DEPTO CIÊNCIAS SOCIAIS E HUMANAS
2894320;DESENVOLVIMENTO GERENCIAL DOS SERVIDORES DO TRIBUNAL DE CONTAS DO ESTADO DO RN;3202;FUNPEC/PPGAD
6992521;DESIGN;442;CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES
122921357;DESIGN DE INOVAÇÃO;9109;PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIA, TECNOLOGIA E INOVAÇÃO
168489371;DIDÁTICA E MÉTODO MULTISSENSORIAL NO ENSINO A ESTUDANTES COM DEFICIÊNCIA VISUAL;30546;PROGRAMA DE PÓS-GRADUAÇÃO EM EDUCAÇÃO ESPECIAL
2000019;DIREITO;1482;CENTRO DE  ENSINO SUPERIOR DO SERIDÓ
2000018;DIREITO;443;CENTRO DE CIÊNCIAS SOCIAIS APLICADAS
130602745;DIREITO ADMINISTRATIVO;84;DEPARTAMENTO DE DIREITO PUBLICO - DIPUB
130399494;DIREITO ADMINISTRATIVO;84;DEPARTAMENTO DE DIREITO PUBLICO - DIPUB
130598333;DIREITO ADMINISTRATIVO;84;DEPARTAMENTO DE DIREITO PUBLICO - DIPUB
143107647;DIREITO CIVIL E PROCESSO CIVIL;4881;DEPARTAMENTO DE DIREITO - CERES
120645059;DIREITO CIVIL E PROCESSUAL CIVIL;404;PROGRAMA DE PÓS-GRADUAÇÃO EM DIREITO
141046982;DIREITO DO TRABALHO E SEGURIDADE SOCIAL;79;DEPARTAMENTO DE DIREITO PRIVADO - DIPRI
184650161;DIREITO E GESTÃO PÚBLICA;4881;DEPARTAMENTO DE DIREITO - CERES
170540665;DIREITO INTERNACIONAL;404;PROGRAMA DE PÓS-GRADUAÇÃO EM DIREITO
170538250;DIREITO INTERNACIONAL;404;PROGRAMA DE PÓS-GRADUAÇÃO EM DIREITO
170586916;DIREITO INTERNACIONAL;404;PROGRAMA DE PÓS-GRADUAÇÃO EM DIREITO
120202645;DIREITO LATO SENSU;404;PROGRAMA DE PÓS-GRADUAÇÃO EM DIREITO
2211049;DIREITO, MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTÁVEL;404;PROGRAMA DE PÓS-GRADUAÇÃO EM DIREITO
183098648;DIREITO MILITAR;9750;DEPARTAMENTO DE DIREITO PROCESSUAL E PROPEDÊUTICA - DEPRO
183356231;DIREITO MILITAR;9750;DEPARTAMENTO DE DIREITO PROCESSUAL E PROPEDÊUTICA - DEPRO
117508551;DIREITO PROCESSUAL CIVIL;404;PROGRAMA DE PÓS-GRADUAÇÃO EM DIREITO
113661131;DOCÊNCIA NA EDUCAÇÃO INFANTIL;1452;NÚCLEO DE EDUCAÇÃO DA INFÂNCIA
315765;DOUTORADO EM ADMINISTRAÇÃO;74;PROGRAMA DE PÓS-GRADUAÇÃO EM ADMINISTRAÇÃO
108227148;DOUTORADO EM ANTROPOLOGIA SOCIAL;1442;PROGRAMA DE PÓS-GRADUAÇÃO EM ANTROPOLOGIA SOCIAL
315767;DOUTORADO EM ARQUITETURA E URBANISMO;102;PROGRAMA DE PÓS-GRADUAÇÃO EM ARQUITETURA E URBANISMO
177608894;DOUTORADO EM ARTES CÊNICAS;4073;PROGRAMA DE PÓS-GRADUAÇÃO EM ARTES CÊNICAS
164535795;DOUTORADO EM ASSISTÊNCIA FARMACÊUTICA EM REDE;31835;PROGRAMA DE PÓS GRADUAÇÃO EM ASSISTÊNCIA FARMACÊUTICA EM REDE
115845494;DOUTORADO EM BIOINFORMÁTICA;9814;PROGRAMA DE PÓS-GRADUAÇÃO EM BIOINFORMÁTICA
172254760;DOUTORADO EM BIOLOGIA ESTRUTURAL E FUNCIONAL;7805;PROGRAMA DE PÓS-GRADUAÇÃO EM BIOLOGIA ESTRUTURAL E FUNCIONAL
178355478;DOUTORADO EM BIOLOGIA PARASITÁRIA;8085;PROGRAMA DE PÓS-GRADUAÇÃO EM BIOLOGIA PARASITÁRIA
