"id_curso";"nome";"id_coordenador";"coordenador";"situacao_curso";"nivel_ensino";"grau_academico";"modalidade_educacao";"area_conhecimento";"tipo_oferta";"turno";"tipo_ciclo_formacao";"municipio";"campus";"id_unidade_responsavel";"unidade_responsavel";"website";"data_funcionamento";"codigo_inep";"dou";"portaria_reconhecimento";"convenio_academico"
"155279230";"ESPECIALIZAÇÃO EM DIREITO EMPRESARIAL";"";"";"";"LATO SENSU";"";"Remoto";"";"";"";"";"";"";"9750";"DEPARTAMENTO DE DIREITO PROCESSUAL E PROPEDÊUTICA - DEPRO";"";"";"";"";"";""
"140971846";"ESPECIALIZAÇÃO EM DIREITO E PROCESSO DO TRABALHO";"";"";"";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"79";"DEPARTAMENTO DE DIREITO PRIVADO - DIPRI";"";"";"";"";"";""
"109727524";"ESPECIALIZAÇÃO EM DIREITO INTERNACIONAL";"";"";"";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"404";"PROGRAMA DE PÓS-GRADUAÇÃO EM DIREITO";"";"";"";"";"";""
"134776267";"ESPECIALIZAÇÃO EM DIREITO INTERNACIONAL";"";"";"";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"404";"PROGRAMA DE PÓS-GRADUAÇÃO EM DIREITO";"";"";"";"";"";""
"170779597";"ESPECIALIZAÇÃO EM DIREITO INTERNACIONAL";"";"";"";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"404";"PROGRAMA DE PÓS-GRADUAÇÃO EM DIREITO";"";"";"";"";"";""
"100365235";"ESPECIALIZAÇÃO EM DIREITO INTERNACIONAL";"";"";"ATIVO";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"404";"PROGRAMA DE PÓS-GRADUAÇÃO EM DIREITO";"";"";"";"";"";""
"170800744";"ESPECIALIZAÇÃO EM DIREITO INTERNACIONAL";"4274563";"JAHYR PHILIPPE BICHARA";"";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"84";"DEPARTAMENTO DE DIREITO PUBLICO - DIPUB";"";"";"";"";"";""
"5032219";"ESPECIALIZAÇÃO EM DIREITO INTERNACIONAL";"";"";"ATIVO";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"404";"PROGRAMA DE PÓS-GRADUAÇÃO EM DIREITO";"";"";"";"";"";""
"90296038";"ESPECIALIZAÇÃO EM DIREITO INTERNACIONAL - CURSO III";"";"";"ATIVO";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"404";"PROGRAMA DE PÓS-GRADUAÇÃO EM DIREITO";"";"";"";"";"";""
"100368839";"ESPECIALIZAÇÃO  EM DIREITO INTERNACIONAL - CURSO IV";"";"";"ATIVO";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"404";"PROGRAMA DE PÓS-GRADUAÇÃO EM DIREITO";"";"";"";"";"";""
"2270667";"ESPECIALIZAÇÃO EM DIREITO PROCESSUAL CIVIL";"";"";"ATIVO";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"404";"PROGRAMA DE PÓS-GRADUAÇÃO EM DIREITO";"";"";"";"";"";""
"172241579";"ESPECIALIZAÇÃO EM DIREITO PÚBLICO APLICADO À GESTÃO GOVERNAMENTAL";"5763253";"WERNA KARENINA MARQUES DE SOUSA";"";"LATO SENSU";"";"A Distância";"";"";"";"";"";"";"4881";"DEPARTAMENTO DE DIREITO - CERES";"";"";"";"";"";""
"146239656";"ESPECIALIZAÇÃO EM DIREITO SOCIAL";"";"";"";"LATO SENSU";"";"Remoto";"";"";"";"";"";"";"79";"DEPARTAMENTO DE DIREITO PRIVADO - DIPRI";"";"";"";"";"";""
"146239795";"ESPECIALIZAÇÃO EM DIREITO SOCIAL";"";"";"";"LATO SENSU";"";"Remoto";"";"";"";"";"";"";"79";"DEPARTAMENTO DE DIREITO PRIVADO - DIPRI";"";"";"";"";"";""
